Month,Sales
Jan-1962,2.851 
Feb-1962,2.672 
Mar-1962,2.755 
Apr-1962,2.721 
May-1962,2.946 
Jun-1962,3.036 
Jul-1962,2.282 
Aug-1962,2.212 
Sep-1962,2.922 
Oct-1962,4.301 
Nov-1962,5.764 
Dec-1962,7.132 
Jan-1963,2.541 
Feb-1963,2.475 
Mar-1963,3.031 
Apr-1963,3.266 
May-1963,3.776 
Jun-1963,3.230 
Jul-1963,3.028 
Aug-1963,1.759 
Sep-1963,3.595 
Oct-1963,4.474 
Nov-1963,6.838 
Dec-1963,8.357 
Jan-1964,3.113 
Feb-1964,3.006 
Mar-1964,4.047 
Apr-1964,3.523 
May-1964,3.937 
Jun-1964,3.986 
Jul-1964,3.260 
Aug-1964,1.573 
Sep-1964,3.528 
Oct-1964,5.211 
Nov-1964,7.614 
Dec-1964,9.254 
Jan-1965,5.375 
Feb-1965,3.088 
Mar-1965,3.718 
Apr-1965,4.514 
May-1965,4.520 
Jun-1965,4.539 
Jul-1965,3.663 
Aug-1965,1.643 
Sep-1965,4.739 
Oct-1965,5.428 
Nov-1965,8.314 
Dec-1965,10.651 
Jan-1966,3.633 
Feb-1966,4.292 
Mar-1966,4.154 
Apr-1966,4.121 
May-1966,4.647 
Jun-1966,4.753 
Jul-1966,3.965 
Aug-1966,1.723 
Sep-1966,5.048 
Oct-1966,6.922 
Nov-1966,9.858 
Dec-1966,11.331 
Jan-1967,4.016 
Feb-1967,3.957 
Mar-1967,4.510 
Apr-1967,4.276 
May-1967,4.968 
Jun-1967,4.677 
Jul-1967,3.523 
Aug-1967,1.821 
Sep-1967,5.222 
Oct-1967,6.873 
Nov-1967,10.803 
Dec-1967,13.916 
Jan-1968,2.639 
Feb-1968,2.899 
Mar-1968,3.370 
Apr-1968,3.740 
May-1968,2.927 
Jun-1968,3.986 
Jul-1968,4.217 
Aug-1968,1.738 
Sep-1968,5.221 
Oct-1968,6.424 
Nov-1968,9.842 
Dec-1968,13.076 
Jan-1969,3.934 
Feb-1969,3.162 
Mar-1969,4.286 
Apr-1969,4.676 
May-1969,5.010 
Jun-1969,4.874 
Jul-1969,4.633 
Aug-1969,1.659 
Sep-1969,5.951 
Oct-1969,6.981 
Nov-1969,9.851 
Dec-1969,12.670 
